hhid;tid;w;x1;x2;x3;x4;y
1;1;1;0.0414589;0.5645868;2.3585145;8.0370537;3.3308191
2;1;1;0.4428107;0.164726;1.1451976;5.196552;9.7286454
3;1;1;0.5925012;0.6484306;2.9364077;8.5688488;6.6223638
1;2;1;0.1818516;0.4060666;1.45885;2.6253226;0.1557337
2;2;1;0.0065606;0.7872727;2.5384794;2.164512;0.0481352
3;3;1;0.2565364;0.8500485;0.9126789;6.419875;9.43253
1;3;1;0.0883612;0.7438586;1.0273623;9.3245823;1.1150565
2;3;1;0.9364531;0.2527146;2.3311608;1.17079;3.3980451
3;4;1;0.4511103;0.0281135;0.5697743;0.8114452;2.0487631
1;4;1;0.6627638;0.8625319;2.5075881;7.534211;1.6519199
2;5;1;0.3944251;0.2217239;1.6339863;7.1230504;2.5831671
3;5;1;1.254383;0.5155827;1.7504972;2.386078;0.2213194
1;6;1;2.0487631;0.3244738;2.330008;0.1698267;2.896393
2;6;1;1.6519199;0.2573827;1.3918806;7.2502994;0.4243683
3;6;1;2.5831671;0.4420193;0.0019606;6.3590307;1.254383
